notice_id,cluster_id,portal_id,copy_index,is_corrigendum,archetype
N000078,OPP000041,P153,1,False,terse
N000079,OPP000041,P004,2,True,nodal_b
N000080,OPP000042,P021,0,False,municipal
N000081,OPP000043,P053,0,False,municipal
N000082,OPP000044,P006,0,False,nodal_b
N000083,OPP000045,P094,0,False,plain
N000084,OPP000046,P094,0,False,plain
N000085,OPP000047,P003,0,False,nodal_b
N000086,OPP000047,P004,1,False,nodal_b
N000087,OPP000047,P094,2,False,plain
N000088,OPP000047,P239,3,True,plain
N000089,OPP000047,P002,4,False,nodal_a
N000090,OPP000047,P236,5,False,plain
N000091,OPP000048,P005,0,False,nodal_a
N000092,OPP000049,P240,0,False,shouty
N000093,OPP000050,P003,0,False,nodal_b
N000094,OPP000051,P069,0,False,html_ish
N000095,OPP000051,P175,1,True,plain
N000096,OPP000052,P069,0,False,html_ish
N000097,OPP000052,P006,1,True,nodal_b
N000098,OPP000053,P002,0,False,nodal_a
N000099,OPP000053,P240,1,False,shouty
N000100,OPP000053,P006,2,False,nodal_b
N000101,OPP000054,P032,0,False,municipal
N000102,OPP000054,P094,1,True,plain
N000103,OPP000054,P200,2,True,plain
N000104,OPP000054,P216,3,False,html_ish
N000105,OPP000055,P002,0,False,nodal_a
N000106,OPP000056,P028,0,False,plain
N000107,OPP000057,P005,0,False,nodal_a
N000108,OPP000057,P010,1,False,plain
N000109,OPP000057,P006,2,False,nodal_b
N000110,OPP000057,P239,3,True,plain
N000111,OPP000057,P094,4,False,plain
N000112,OPP000057,P130,5,True,plain
N000113,OPP000057,P228,6,False,html_ish
N000114,OPP000057,P004,7,True,nodal_b
N000115,OPP000057,P002,8,False,nodal_a
N000116,OPP000058,P006,0,False,nodal_b
N000117,OPP000058,P229,1,True,html_ish
N000118,OPP000058,P004,2,False,nodal_b
N000119,OPP000059,P001,0,False,nodal_a
N000120,OPP000060,P240,0,False,shouty
N000121,OPP000061,P042,0,False,plain
N000122,OPP000062,P189,0,False,plain
N000123,OPP000062,P235,1,False,municipal
N000124,OPP000062,P002,2,False,nodal_a
N000125,OPP000063,P168,0,False,municipal
N000126,OPP000064,P221,0,False,terse
N000127,OPP000065,P004,0,False,nodal_b
N000128,OPP000065,P006,1,False,nodal_b
N000129,OPP000065,P005,2,True,nodal_a
N000130,OPP000065,P122,3,False,shouty
N000131,OPP000066,P005,0,False,nodal_a
N000132,OPP000066,P028,1,True,plain
N000133,OPP000067,P004,0,False,nodal_b
N000134,OPP000068,P020,0,False,plain
N000135,OPP000068,P002,1,False,nodal_a
N000136,OPP000068,P229,2,True,html_ish
N000137,OPP000068,P003,3,False,nodal_b
N000138,OPP000069,P255,0,False,shouty
N000139,OPP000070,P113,0,False,plain
N000140,OPP000070,P003,1,False,nodal_b
N000141,OPP000070,P071,2,True,html_ish
N000142,OPP000070,P240,3,False,shouty
N000143,OPP000070,P004,4,False,nodal_b
N000144,OPP000070,P001,5,True,nodal_a
N000145,OPP000071,P002,0,False,nodal_a
N000146,OPP000071,P096,1,False,html_ish
N000147,OPP000071,P044,2,True,plain
N000148,OPP000071,P196,3,True,html_ish
N000149,OPP000072,P227,0,False,plain
N000150,OPP000072,P232,1,False,plain
N000151,OPP000072,P098,2,False,municipal
N000152,OPP000073,P065,0,False,municipal
N000153,OPP000073,P002,1,False,nodal_a
N000154,OPP000073,P089,2,True,html_ish
N000155,OPP000073,P094,3,True,plain
N000156,OPP000073,P014,4,True,html_ish
N000157,OPP000073,P004,5,False,nodal_b
N000158,OPP000074,P221,0,False,terse
N000159,OPP000074,P006,1,False,nodal_b
N000160,OPP000075,P215,0,False,plain
N000161,OPP000075,P002,1,False,nodal_a
N000162,OPP000076,P002,0,False,nodal_a
N000163,OPP000076,P049,1,True,municipal
N000164,OPP000076,P003,2,True,nodal_b
N000165,OPP000076,P006,3,True,nodal_b
N000166,OPP000076,P174,4,False,municipal
N000167,OPP000077,P033,0,False,municipal
N000168,OPP000078,P094,0,False,plain
N000169,OPP000078,P004,1,True,nodal_b
N000170,OPP000078,P137,2,False,html_ish
N000171,OPP000078,P001,3,True,nodal_a
N000172,OPP000078,P013,4,False,terse
N000173,OPP000078,P106,5,False,plain
N000174,OPP000078,P098,6,False,municipal
N000175,OPP000079,P183,0,False,municipal
N000176,OPP000080,P228,0,False,html_ish
N000177,OPP000080,P003,1,True,nodal_b
N000178,OPP000081,P094,0,False,plain
N000179,OPP000081,P088,1,True,plain
N000180,OPP000082,P166,0,False,html_ish
N000181,OPP000083,P120,0,False,legacy
N000182,OPP000083,P006,1,True,nodal_b
N000183,OPP000084,P002,0,False,nodal_a
N000184,OPP000084,P005,1,False,nodal_a
N000185,OPP000084,P081,2,True,municipal
N000186,OPP000084,P001,3,False,nodal_a
N000187,OPP000084,P238,4,False,plain
N000188,OPP000084,P003,5,True,nodal_b
N000189,OPP000085,P056,0,False,html_ish
N000190,OPP000085,P207,1,True,plain
N000191,OPP000086,P003,0,False,nodal_b
N000192,OPP000087,P180,0,False,legacy
N000193,OPP000087,P003,1,False,nodal_b
N000194,OPP000087,P205,2,True,plain
N000195,OPP000088,P136,0,False,html_ish
N000196,OPP000088,P094,1,True,plain
N000197,OPP000088,P091,2,False,municipal
N000198,OPP000089,P003,0,False,nodal_b
N000199,OPP000089,P254,1,False,terse
N000200,OPP000089,P002,2,False,nodal_a
N000201,OPP000089,P211,3,False,shouty
N000202,OPP000089,P017,4,False,municipal
N000203,OPP000089,P094,5,False,plain
N000204,OPP000089,P240,6,True,shouty
N000205,OPP000090,P002,0,False,nodal_a
N000206,OPP000091,P215,0,False,plain
N000207,OPP000091,P102,1,True,plain
N000208,OPP000092,P005,0,False,nodal_a
N000209,OPP000093,P004,0,False,nodal_b
N000210,OPP000094,P001,0,False,nodal_a
N000211,OPP000095,P094,0,False,plain
N000212,OPP000096,P004,0,False,nodal_b
N000213,OPP000096,P072,1,False,html_ish
N000214,OPP000097,P240,0,False,shouty
N000215,OPP000097,P001,1,False,nodal_a
N000216,OPP000097,P094,2,False,plain
N000217,OPP000098,P001,0,False,nodal_a
N000218,OPP000098,P146,1,True,html_ish
N000219,OPP000098,P215,2,False,plain
N000220,OPP000098,P196,3,False,html_ish
N000221,OPP000099,P249,0,False,plain
N000222,OPP000100,P163,0,False,municipal
N000223,OPP000101,P002,0,False,nodal_a
N000224,OPP000102,P109,0,False,plain
N000225,OPP000103,P014,0,False,html_ish
N000226,OPP000103,P003,1,True,nodal_b
N000227,OPP000104,P044,0,False,plain
N000228,OPP000105,P006,0,False,nodal_b
N000229,OPP000106,P034,0,False,shouty
N000230,OPP000106,P002,1,False,nodal_a
N000231,OPP000107,P211,0,False,shouty
N000232,OPP000108,P026,0,False,municipal
N000233,OPP000109,P094,0,False,plain
N000234,OPP000109,P004,1,True,nodal_b
N000235,OPP000110,P002,0,False,nodal_a
N000236,OPP000111,P003,0,False,nodal_b
N000237,OPP000111,P004,1,True,nodal_b
N000238,OPP000111,P094,2,False,plain
N000239,OPP000111,P152,3,True,municipal
N000240,OPP000112,P005,0,False,nodal_a
N000241,OPP000112,P006,1,False,nodal_b
N000242,OPP000112,P088,2,False,plain
N000243,OPP000112,P182,3,False,plain
N000244,OPP000112,P027,4,False,plain
N000245,OPP000112,P096,5,True,html_ish
N000246,OPP000113,P232,0,False,plain
N000247,OPP000113,P242,1,True,shouty
N000248,OPP000113,P001,2,False,nodal_a
N000249,OPP000113,P248,3,True,legacy
N000250,OPP000114,P006,0,False,nodal_b
N000251,OPP000115,P006,0,False,nodal_b
N000252,OPP000115,P097,1,False,html_ish
N000253,OPP000115,P002,2,False,nodal_a
N000254,OPP000115,P001,3,True,nodal_a
N000255,OPP000115,P004,4,True,nodal_b
N000256,OPP000115,P056,5,True,html_ish
N000257,OPP000115,P207,6,True,plain
N000258,OPP000115,P005,7,True,nodal_a
N000259,OPP000115,P055,8,False,plain
N000260,OPP000116,P001,0,False,nodal_a
N000261,OPP000117,P168,0,False,municipal
N000262,OPP000118,P006,0,False,nodal_b
N000263,OPP000119,P223,0,False,plain
N000264,OPP000119,P153,1,False,terse
N000265,OPP000119,P172,2,False,municipal
N000266,OPP000119,P080,3,False,shouty
N000267,OPP000119,P094,4,True,plain
N000268,OPP000119,P002,5,True,nodal_a
N000269,OPP000119,P211,6,True,shouty
N000270,OPP000119,P006,7,False,nodal_b
N000271,OPP000120,P094,0,False,plain
N000272,OPP000121,P094,0,False,plain
N000273,OPP000122,P232,0,False,plain
N000274,OPP000123,P005,0,False,nodal_a
N000275,OPP000124,P200,0,False,plain
N000276,OPP000125,P046,0,False,terse
N000277,OPP000125,P002,1,False,nodal_a
N000278,OPP000125,P073,2,True,shouty
N000279,OPP000126,P020,0,False,plain
N000280,OPP000126,P094,1,False,plain
N000281,OPP000126,P215,2,True,plain
N000282,OPP000126,P019,3,False,municipal
N000283,OPP000127,P097,0,False,html_ish
N000284,OPP000127,P002,1,True,nodal_a
N000285,OPP000128,P189,0,False,plain
N000286,OPP000128,P002,1,False,nodal_a
N000287,OPP000128,P111,2,False,shouty
N000288,OPP000128,P094,3,True,plain
N000289,OPP000128,P071,4,True,html_ish
N000290,OPP000129,P081,0,False,municipal
N000291,OPP000130,P006,0,False,nodal_b
N000292,OPP000131,P006,0,False,nodal_b
N000293,OPP000131,P215,1,False,plain
N000294,OPP000131,P002,2,False,nodal_a
N000295,OPP000132,P002,0,False,nodal_a
N000296,OPP000132,P006,1,False,nodal_b
N000297,OPP000133,P004,0,False,nodal_b
N000298,OPP000134,P094,0,False,plain
N000299,OPP000135,P094,0,False,plain
N000300,OPP000136,P006,0,False,nodal_b
N000301,OPP000137,P006,0,False,nodal_b
N000302,OPP000137,P001,1,False,nodal_a
N000303,OPP000137,P003,2,False,nodal_b
N000304,OPP000137,P020,3,False,plain
N000305,OPP000137,P094,4,False,plain
N000306,OPP000137,P004,5,True,nodal_b
N000307,OPP000137,P002,6,False,nodal_a
N000308,OPP000138,P107,0,False,terse
N000309,OPP000138,P006,1,True,nodal_b
N000310,OPP000139,P088,0,False,plain
N000311,OPP000139,P146,1,False,html_ish
N000312,OPP000139,P167,2,True,municipal
N000313,OPP000139,P004,3,False,nodal_b
N000314,OPP000139,P002,4,False,nodal_a
N000315,OPP000140,P005,0,False,nodal_a
N000316,OPP000140,P094,1,True,plain
N000317,OPP000141,P260,0,False,plain
N000318,OPP000142,P002,0,False,nodal_a
N000319,OPP000143,P094,0,False,plain
N000320,OPP000143,P240,1,False,shouty
N000321,OPP000143,P006,2,False,nodal_b
N000322,OPP000143,P215,3,True,plain
N000323,OPP000143,P170,4,False,plain
N000324,OPP000143,P242,5,False,shouty
N000325,OPP000143,P236,6,False,plain
N000326,OPP000144,P006,0,False,nodal_b
N000327,OPP000144,P249,1,False,plain
N000328,OPP000145,P004,0,False,nodal_b
N000329,OPP000146,P001,0,False,nodal_a
N000330,OPP000147,P006,0,False,nodal_b
N000331,OPP000148,P094,0,False,plain
N000332,OPP000148,P258,1,True,html_ish
N000333,OPP000149,P069,0,False,html_ish
N000334,OPP000150,P167,0,False,municipal
N000335,OPP000151,P151,0,False,terse
N000336,OPP000152,P215,0,False,plain
N000337,OPP000153,P005,0,False,nodal_a
N000338,OPP000154,P001,0,False,nodal_a
N000339,OPP000154,P165,1,False,plain
N000340,OPP000155,P005,0,False,nodal_a
N000341,OPP000156,P002,0,False,nodal_a
N000342,OPP000157,P004,0,False,nodal_b
N000343,OPP000158,P020,0,False,plain
N000344,OPP000158,P071,1,True,html_ish
N000345,OPP000159,P226,0,False,plain
N000346,OPP000160,P002,0,False,nodal_a
N000347,OPP000161,P044,0,False,plain
N000348,OPP000162,P094,0,False,plain
N000349,OPP000163,P200,0,False,plain
N000350,OPP000163,P096,1,False,html_ish
N000351,OPP000164,P040,0,False,html_ish
N000352,OPP000165,P002,0,False,nodal_a
N000353,OPP000166,P005,0,False,nodal_a
N000354,OPP000166,P181,1,True,plain
N000355,OPP000166,P003,2,False,nodal_b
N000356,OPP000167,P240,0,False,shouty
N000357,OPP000168,P004,0,False,nodal_b
N000358,OPP000168,P222,1,False,plain
N000359,OPP000168,P054,2,False,plain
N000360,OPP000169,P006,0,False,nodal_b
N000361,OPP000170,P142,0,False,terse
N000362,OPP000170,P094,1,True,plain
N000363,OPP000170,P003,2,False,nodal_b
N000364,OPP000170,P001,3,False,nodal_a
N000365,OPP000170,P014,4,True,html_ish
N000366,OPP000170,P005,5,False,nodal_a
N000367,OPP000170,P034,6,False,shouty
N000368,OPP000170,P181,7,True,plain
N000369,OPP000171,P094,0,False,plain
N000370,OPP000171,P084,1,True,terse
N000371,OPP000172,P013,0,False,terse
N000372,OPP000173,P001,0,False,nodal_a
N000373,OPP000174,P250,0,False,html_ish
N000374,OPP000174,P100,1,False,plain
N000375,OPP000174,P088,2,False,plain
N000376,OPP000175,P139,0,False,plain
N000377,OPP000176,P003,0,False,nodal_b
N000378,OPP000177,P044,0,False,plain
N000379,OPP000177,P013,1,False,terse
N000380,OPP000177,P241,2,False,plain
N000381,OPP000177,P227,3,True,plain
N000382,OPP000177,P003,4,True,nodal_b
N000383,OPP000178,P020,0,False,plain
N000384,OPP000178,P002,1,False,nodal_a
N000385,OPP000179,P094,0,False,plain
N000386,OPP000180,P001,0,False,nodal_a
N000387,OPP000180,P005,1,True,nodal_a
N000388,OPP000180,P103,2,False,plain
N000389,OPP000180,P094,3,True,plain
N000390,OPP000180,P146,4,False,html_ish
N000391,OPP000180,P006,5,True,nodal_b
N000392,OPP000181,P094,0,False,plain
N000393,OPP000181,P020,1,True,plain
N000394,OPP000182,P005,0,False,nodal_a
N000395,OPP000183,P003,0,False,nodal_b
N000396,OPP000184,P002,0,False,nodal_a
N000397,OPP000184,P003,1,False,nodal_b
N000398,OPP000185,P005,0,False,nodal_a
N000399,OPP000186,P005,0,False,nodal_a
N000400,OPP000186,P044,1,False,plain
N000401,OPP000186,P094,2,False,plain
N000402,OPP000186,P002,3,True,nodal_a
N000403,OPP000187,P228,0,False,html_ish
N000404,OPP000188,P232,0,False,plain
N000405,OPP000189,P097,0,False,html_ish
N000406,OPP000189,P094,1,False,plain
N000407,OPP000189,P005,2,False,nodal_a
N000408,OPP000190,P227,0,False,plain
N000409,OPP000190,P006,1,False,nodal_b
N000410,OPP000190,P170,2,True,plain
N000411,OPP000190,P036,3,False,html_ish
N000412,OPP000190,P005,4,False,nodal_a
N000413,OPP000191,P094,0,False,plain
N000414,OPP000191,P215,1,True,plain
N000415,OPP000191,P240,2,False,shouty
N000416,OPP000192,P094,0,False,plain
N000417,OPP000192,P136,1,True,html_ish
N000418,OPP000192,P097,2,False,html_ish
N000419,OPP000192,P215,3,False,plain
N000420,OPP000193,P063,0,False,shouty
N000421,OPP000193,P217,1,False,plain
N000422,OPP000194,P001,0,False,nodal_a
N000423,OPP000195,P005,0,False,nodal_a
N000424,OPP000196,P002,0,False,nodal_a
N000425,OPP000197,P002,0,False,nodal_a
N000426,OPP000197,P227,1,True,plain
N000427,OPP000197,P240,2,False,shouty
N000428,OPP000197,P006,3,False,nodal_b
N000429,OPP000197,P004,4,False,nodal_b
N000430,OPP000197,P001,5,False,nodal_a
N000431,OPP000198,P094,0,False,plain
N000432,OPP000198,P046,1,False,terse
N000433,OPP000198,P192,2,True,legacy
N000434,OPP000198,P001,3,False,nodal_a
N000435,OPP000199,P001,0,False,nodal_a
N000436,OPP000200,P005,0,False,nodal_a
N000437,OPP000200,P004,1,True,nodal_b
N000438,OPP000201,P075,0,False,plain
N000439,OPP000202,P094,0,False,plain
N000440,OPP000203,P094,0,False,plain
N000441,OPP000204,P086,0,False,municipal
N000442,OPP000205,P029,0,False,plain
N000443,OPP000206,P002,0,False,nodal_a
N000444,OPP000206,P094,1,False,plain
N000445,OPP000206,P001,2,False,nodal_a
N000446,OPP000206,P004,3,False,nodal_b
N000447,OPP000206,P003,4,True,nodal_b
N000448,OPP000206,P230,5,False,municipal
N000449,OPP000206,P187,6,True,municipal
N000450,OPP000207,P260,0,False,plain
N000451,OPP000208,P028,0,False,plain
N000452,OPP000209,P001,0,False,nodal_a
N000453,OPP000209,P137,1,False,html_ish
N000454,OPP000210,P217,0,False,plain
N000455,OPP000210,P198,1,False,html_ish
N000456,OPP000210,P094,2,True,plain
N000457,OPP000211,P006,0,False,nodal_b
N000458,OPP000211,P001,1,True,nodal_a
N000459,OPP000212,P044,0,False,plain
N000460,OPP000213,P136,0,False,html_ish
N000461,OPP000214,P001,0,False,nodal_a
N000462,OPP000215,P233,0,False,terse
N000463,OPP000216,P006,0,False,nodal_b
N000464,OPP000216,P146,1,False,html_ish
N000465,OPP000216,P183,2,False,municipal
N000466,OPP000217,P240,0,False,shouty
N000467,OPP000218,P005,0,False,nodal_a
N000468,OPP000218,P044,1,False,plain
N000469,OPP000219,P003,0,False,nodal_b
N000470,OPP000219,P024,1,False,html_ish
N000471,OPP000219,P001,2,False,nodal_a
N000472,OPP000219,P089,3,True,html_ish
N000473,OPP000219,P005,4,False,nodal_a
N000474,OPP000220,P002,0,False,nodal_a
N000475,OPP000221,P146,0,False,html_ish
N000476,OPP000221,P184,1,False,legacy
N000477,OPP000221,P094,2,False,plain
N000478,OPP000221,P240,3,True,shouty
N000479,OPP000221,P004,4,True,nodal_b
N000480,OPP000221,P105,5,False,municipal
N000481,OPP000222,P042,0,False,plain
N000482,OPP000223,P089,0,False,html_ish
N000483,OPP000224,P215,0,False,plain
N000484,OPP000224,P136,1,True,html_ish
N000485,OPP000224,P094,2,False,plain
N000486,OPP000224,P082,3,False,plain
N000487,OPP000224,P098,4,False,municipal
N000488,OPP000224,P242,5,True,shouty
N000489,OPP000224,P114,6,True,terse
N000490,OPP000224,P003,7,True,nodal_b
N000491,OPP000224,P004,8,True,nodal_b
N000492,OPP000225,P006,0,False,nodal_b
N000493,OPP000225,P094,1,True,plain
N000494,OPP000226,P006,0,False,nodal_b
N000495,OPP000227,P005,0,False,nodal_a
N000496,OPP000228,P094,0,False,plain
N000497,OPP000229,P006,0,False,nodal_b
N000498,OPP000230,P232,0,False,plain
N000499,OPP000231,P004,0,False,nodal_b
N000500,OPP000231,P001,1,False,nodal_a
N000501,OPP000231,P073,2,False,shouty
N000502,OPP000232,P004,0,False,nodal_b
N000503,OPP000233,P195,0,False,html_ish
N000504,OPP000233,P003,1,False,nodal_b
N000505,OPP000233,P240,2,False,shouty
N000506,OPP000233,P232,3,True,plain
N000507,OPP000233,P094,4,False,plain
N000508,OPP000234,P002,0,False,nodal_a
N000509,OPP000235,P094,0,False,plain
N000510,OPP000236,P008,0,False,terse
N000511,OPP000237,P206,0,False,municipal
N000512,OPP000237,P079,1,True,html_ish
N000513,OPP000237,P087,2,False,plain
N000514,OPP000237,P006,3,False,nodal_b
N000515,OPP000237,P002,4,False,nodal_a
N000516,OPP000238,P020,0,False,plain
N000517,OPP000239,P004,0,False,nodal_b
N000518,OPP000240,P005,0,False,nodal_a
N000519,OPP000241,P127,0,False,shouty
N000520,OPP000242,P020,0,False,plain
N000521,OPP000242,P094,1,False,plain
N000522,OPP000242,P001,2,False,nodal_a
N000523,OPP000242,P005,3,True,nodal_a
N000524,OPP000243,P005,0,False,nodal_a
N000525,OPP000244,P002,0,False,nodal_a
N000526,OPP000244,P006,1,False,nodal_b
N000527,OPP000244,P005,2,False,nodal_a
N000528,OPP000245,P093,0,False,municipal
N000529,OPP000245,P146,1,True,html_ish
N000530,OPP000245,P172,2,True,municipal
N000531,OPP000245,P094,3,False,plain
N000532,OPP000245,P026,4,False,municipal
N000533,OPP000245,P200,5,False,plain
N000534,OPP000245,P002,6,False,nodal_a
N000535,OPP000246,P096,0,False,html_ish
N000536,OPP000246,P094,1,True,plain
N000537,OPP000247,P013,0,False,terse
N000538,OPP000248,P094,0,False,plain
N000539,OPP000249,P059,0,False,municipal
N000540,OPP000250,P227,0,False,plain
N000541,OPP000250,P003,1,False,nodal_b
N000542,OPP000250,P094,2,True,plain
N000543,OPP000250,P215,3,False,plain
N000544,OPP000250,P240,4,False,shouty
N000545,OPP000250,P006,5,True,nodal_b
N000546,OPP000250,P087,6,False,plain
N000547,OPP000250,P002,7,False,nodal_a
N000548,OPP000251,P094,0,False,plain
N000549,OPP000251,P006,1,False,nodal_b
N000550,OPP000251,P002,2,False,nodal_a
N000551,OPP000251,P133,3,False,plain
N000552,OPP000251,P163,4,False,municipal
N000553,OPP000251,P214,5,True,plain
N000554,OPP000251,P181,6,True,plain
N000555,OPP000252,P003,0,False,nodal_b
N000556,OPP000253,P049,0,False,municipal
N000557,OPP000253,P078,1,False,municipal
N000558,OPP000253,P031,2,False,shouty
N000559,OPP000253,P001,3,True,nodal_a
N000560,OPP000254,P005,0,False,nodal_a
N000561,OPP000255,P002,0,False,nodal_a
N000562,OPP000256,P002,0,False,nodal_a
N000563,OPP000257,P006,0,False,nodal_b
N000564,OPP000258,P001,0,False,nodal_a
N000565,OPP000258,P181,1,True,plain
N000566,OPP000258,P005,2,True,nodal_a
N000567,OPP000259,P006,0,False,nodal_b
N000568,OPP000260,P005,0,False,nodal_a
N000569,OPP000261,P003,0,False,nodal_b
N000570,OPP000262,P240,0,False,shouty
N000571,OPP000262,P041,1,True,html_ish
N000572,OPP000263,P004,0,False,nodal_b
N000573,OPP000263,P002,1,False,nodal_a
N000574,OPP000263,P003,2,False,nodal_b
N000575,OPP000263,P203,3,True,municipal
N000576,OPP000263,P005,4,False,nodal_a
N000577,OPP000263,P046,5,True,terse
N000578,OPP000263,P225,6,False,municipal
N000579,OPP000264,P004,0,False,nodal_b
N000580,OPP000265,P234,0,False,municipal
N000581,OPP000266,P003,0,False,nodal_b
N000582,OPP000267,P005,0,False,nodal_a
N000583,OPP000267,P064,1,False,plain
N000584,OPP000268,P094,0,False,plain
N000585,OPP000269,P004,0,False,nodal_b
N000586,OPP000270,P094,0,False,plain
N000587,OPP000270,P006,1,False,nodal_b
N000588,OPP000271,P006,0,False,nodal_b
N000589,OPP000272,P239,0,False,plain
N000590,OPP000273,P180,0,False,legacy
N000591,OPP000274,P004,0,False,nodal_b
N000592,OPP000274,P215,1,False,plain
N000593,OPP000274,P002,2,True,nodal_a
N000594,OPP000275,P005,0,False,nodal_a
N000595,OPP000275,P165,1,False,plain
N000596,OPP000276,P094,0,False,plain
N000597,OPP000276,P001,1,False,nodal_a
N000598,OPP000277,P005,0,False,nodal_a
N000599,OPP000277,P001,1,False,nodal_a
N000600,OPP000277,P134,2,True,plain
N000601,OPP000277,P002,3,True,nodal_a
N000602,OPP000278,P038,0,False,plain
N000603,OPP000278,P094,1,False,plain
N000604,OPP000279,P004,0,False,nodal_b
N000605,OPP000280,P094,0,False,plain
N000606,OPP000281,P003,0,False,nodal_b
N000607,OPP000281,P065,1,False,municipal
N000608,OPP000281,P005,2,False,nodal_a
N000609,OPP000281,P061,3,True,html_ish
N000610,OPP000282,P232,0,False,plain
N000611,OPP000283,P091,0,False,municipal
N000612,OPP000283,P004,1,False,nodal_b
N000613,OPP000284,P240,0,False,shouty
N000614,OPP000285,P002,0,False,nodal_a
N000615,OPP000286,P166,0,False,html_ish
N000616,OPP000286,P094,1,False,plain
N000617,OPP000286,P001,2,True,nodal_a
N000618,OPP000286,P003,3,True,nodal_b
N000619,OPP000287,P258,0,False,html_ish
N000620,OPP000287,P002,1,False,nodal_a
N000621,OPP000287,P240,2,False,shouty
N000622,OPP000287,P044,3,True,plain
N000623,OPP000287,P227,4,False,plain
N000624,OPP000287,P094,5,False,plain
N000625,OPP000288,P001,0,False,nodal_a
N000626,OPP000288,P004,1,False,nodal_b
N000627,OPP000288,P094,2,False,plain
N000628,OPP000289,P081,0,False,municipal
N000629,OPP000289,P143,1,True,html_ish
N000630,OPP000289,P001,2,False,nodal_a
N000631,OPP000289,P036,3,True,html_ish
N000632,OPP000289,P242,4,False,shouty
N000633,OPP000289,P004,5,False,nodal_b
N000634,OPP000290,P001,0,False,nodal_a
N000635,OPP000291,P003,0,False,nodal_b
N000636,OPP000291,P094,1,True,plain
N000637,OPP000292,P094,0,False,plain
N000638,OPP000293,P240,0,False,shouty
N000639,OPP000293,P001,1,True,nodal_a
N000640,OPP000294,P005,0,False,nodal_a
N000641,OPP000295,P096,0,False,html_ish
N000642,OPP000295,P002,1,False,nodal_a
N000643,OPP000296,P001,0,False,nodal_a
N000644,OPP000296,P002,1,False,nodal_a
N000645,OPP000296,P097,2,False,html_ish
N000646,OPP000296,P131,3,False,legacy
